games_played,o_wins,x_wins,ties,o_pct,x_pct,tie_pct
100,52,43,5,52.00,43.00,5.00
200,106,87,7,53.00,43.50,3.50
300,161,127,12,53.67,42.33,4.00
400,210,172,18,52.50,43.00,4.50
500,265,207,28,53.00,41.40,5.60
1000,518,425,57,51.80,42.50,5.70
5000,2529,2207,264,50.58,44.14,5.28
10000,5076,4376,548,50.76,43.76,5.48
50000,24795,22363,2842,49.59,44.73,5.68
100000,49231,44915,5854,49.23,44.91,5.85
500000,248326,222939,28735,49.67,44.59,5.75
1000000,496981,445768,57251,49.70,44.58,5.73
100,50,42,8,50.00,42.00,8.00
200,102,84,14,51.00,42.00,7.00
300,161,119,20,53.67,39.67,6.67
400,208,167,25,52.00,41.75,6.25
500,260,210,30,52.00,42.00,6.00
1000,519,428,53,51.90,42.80,5.30
100,56,37,7,56.00,37.00,7.00
200,113,75,12,56.50,37.50,6.00
300,160,124,16,53.33,41.33,5.33
400,213,165,22,53.25,41.25,5.50
500,255,218,27,51.00,43.60,5.40
1000,504,442,54,50.40,44.20,5.40
5000,2482,2222,296,49.64,44.44,5.92
10000,5032,4386,582,50.32,43.86,5.82
50000,25756,21309,2935,51.51,42.62,5.87
100,42,56,2,42.00,56.00,2.00
200,91,100,9,45.50,50.00,4.50
300,149,135,16,49.67,45.00,5.33
100,54,37,9,54.00,37.00,9.00
200,95,88,17,47.50,44.00,8.50
300,132,140,28,44.00,46.67,9.33
400,182,183,35,45.50,45.75,8.75
500,232,224,44,46.40,44.80,8.80
1000,502,425,73,50.20,42.50,7.30
5000,2597,2084,319,51.94,41.68,6.38
10000,5084,4272,644,50.84,42.72,6.44
50000,25493,21448,3059,50.99,42.90,6.12
100,52,43,5,52.00,43.00,5.00
200,108,81,11,54.00,40.50,5.50
100,44,49,7,44.00,49.00,7.00
100,51,43,6,51.00,43.00,6.00
200,96,88,16,48.00,44.00,8.00
300,141,135,24,47.00,45.00,8.00
400,190,179,31,47.50,44.75,7.75
500,239,224,37,47.80,44.80,7.40
1000,491,439,70,49.10,43.90,7.00
5000,2471,2214,315,49.42,44.28,6.30
10000,4997,4352,651,49.97,43.52,6.51
50000,25241,21438,3321,50.48,42.88,6.64
100,53,43,4,53.00,43.00,4.00
200,96,93,11,48.00,46.50,5.50
300,143,139,18,47.67,46.33,6.00
400,194,182,24,48.50,45.50,6.00
500,251,220,29,50.20,44.00,5.80
1000,494,444,62,49.40,44.40,6.20
5000,2539,2120,341,50.78,42.40,6.82
10000,4995,4319,686,49.95,43.19,6.86
50000,25379,21407,3214,50.76,42.81,6.43
100000,50952,42618,6430,50.95,42.62,6.43
500000,254784,212552,32664,50.96,42.51,6.53
